Sample No,PH,EC,N,P,K,Avg Rain,Max Temp,Min Temp,quality
1005,6.5,0.16,189,55.76,150,1009.5,36,23,7
1006,7.77,0.25,214,27.33,174,1009.5,36,23,7
1007,8.08,0.33,91,46.25,124,1009.5,36,23,7
1008,7.51,0.51,147,37.6,145,1009.5,36,23,7
1009,7.7,0.1,133,34,123,1009.5,36,23,7
1497,7.97,0.38,189,184,647,1009.5,36,23,9
1498,8.32,0.11,84,92,274,1009.5,36,23,7
1499,8.46,0.11,189,98,596,1009.5,36,23,9
1500,8.03,0.23,189,184,647,1009.5,36,23,8
1501,7.96,0.28,245,55,196,1009.5,36,23,7
1502,7.48,0.05,112,133,184,1009.5,36,23,7
1534,8.1,0.16,173,34,142,1009.5,36,23,7
1535,7.9,0.19,152,33,289,1009.5,36,23,9
1583,8.48,0.19,282,48,13,1009.5,36,23,7
1600,8.31,0.1,133,19,104,1009.5,36,23,3
1614,8.22,0.36,196,59,182,1009.5,36,23,7
1796,8.77,0.06,104,26,280,1009.5,36,23,8
1797,8.8,0.21,120,55,255,1009.5,36,23,7
1798,8.7,0.06,186,78,172,1009.5,36,23,7
1928,8.29,0.28,352.5,46,778,1009.5,36,23,8
1929,8.14,0.59,412.5,27,390,1009.5,36,23,9
2202,8.35,0.17,210,12.3,319,1009.5,36,23,8
2203,8.63,0.28,240,13.4,289,1009.5,36,23,8
2204,8.7,0.22,242,13.5,360,1009.5,36,23,9
2204,8.3,0.22,242,13.5,360,949,36,23,9
2204,5.1,0.1,133,19,104,949,36,23,3
2204,6.5,0.16,189,55.76,150,618,36,23,9
2204,7.8,0.28,245,55,196,618,36,23,8
2204,7.9,0.16,173,55,196,745,36,23,7
2204,8.1,0.16,173,34,142,745,36,23,7
2204,6.9,0.16,173,34,142,938,36,23,7
2204,7.7,0.1,133,34,123,938,36,23,9
2204,7,0.5,223,22.71,208,841.9,36,23,7
2204,6.8,0.5,223,22.71,208,841.9,36,23,7
2207,8.3,0.5,223,22.71,208,949,36,23,7
2207,8.2,0.33,202,19.59,195,949,36,23,7
2207,8.16,0.33,182,20.28,191,949,36,23,7
2207,8.08,0.41,185,22.44,207,949,36,23,7
2207,8.3,0.39,175,24.46,193,949,36,23,7
2207,8.42,0.3,181,23.08,162,949,36,23,7
2207,8.34,0.24,197,13.21,254,949,36,23,7
2207,8.16,0.17,179,28,176,949,36,23,7
2207,6.35,0.16,200,58.21,310,949,36,23,8
2219,6.79,0.16,200,58.21,310,1009.5,36,23,8
2219,7.26,0.16,189,55.76,159,1009.5,36,23,9
2219,6.99,0.16,189,55.76,159,1009.5,36,23,9
2219,5.63,0.5,223,22.71,208,1009.5,36,23,7
2219,6.09,0.33,202,19.59,195,1009.5,36,23,7
2220,7.5,0.16,200,58.21,310,1009.5,36,23,8
2232,8.77,0.16,189,55.76,159,1009.5,36,23,9
2232,8,0.16,200,58.21,310,1009.5,36,23,8
2232,6.95,0.16,189,55.76,123,1009.5,36,23,9
2232,7.12,0.16,200,58.21,310,1009.5,36,23,8
2232,8.25,0.16,189,55.76,123,1009.5,36,23,9
2232,8.32,0.16,189,55.76,123,1009.5,36,23,9
2232,9.11,0.16,200,58.21,310,963,36,23,8
2232,8.94,0.16,200,58.21,310,963,36,23,8
2232,7.27,0.16,189,55.76,123,963,36,23,9
2232,6.61,0.16,200,58.21,310,963,36,23,8
2232,9.25,0.16,189,55.67,123,963,36,23,9
2232,5.07,0.5,223,22.71,208,963,36,23,7
2232,7.42,0.16,200,58.21,310,963,36,23,8
2232,8.87,0.16,189,55.67,123,963,36,23,9
2232,4.98,0.1,133,19,104,963,36,23,3
2232,5.87,0.16,189,55.67,123,963,36,23,9
2232,9.61,0.17,210,12.3,319,963,36,23,8
2232,7.2,0.19,282,48,13,963,36,23,9
2232,8.65,0.17,210,12.3,319,963,36,23,8
2232,6.87,0.19,282,48,13,963,36,23,9
2232,9,0.5,223,22.71,208,963,36,23,7
2232,7.32,0.5,223,22.71,208,963,36,23,7
2232,7.81,0.19,282,48,13,963,36,23,9
2232,8.07,0.5,223,22.71,208,963,36,23,7
2232,6.98,0.19,282,48,13,963,36,23,9
2232,5.4,0.5,223,22.71,208,963,36,23,7
2232,9.43,0.5,223,22.71,208,963,36,23,7
2232,6,0.5,223,22.71,208,963,36,23,7
2232,7.3,0.5,223,22.71,208,963,36,23,7
2232,8.36,0.33,202,19.59,195,963,36,23,7
2232,5.98,0.33,202,19.59,195,963,36,23,7
2232,9.02,0.25,214,27.33,174,963,36,23,8
2232,6.23,0.28,352.5,46,776,963,36,23,7
2232,6.54,0.28,352.5,46,776,963,36,23,7
2204,7.34,0.28,352.5,46,776,963,36,23,7
2204,6.67,0.33,202,19.59,195,963,36,23,7
2204,8.14,0.17,179,28,176,963,36,23,8
2204,6.2,0.25,214,27.33,174,963,36,23,8
2204,9.32,0.25,214,27.33,174,963,36,23,7
2204,7.44,0.33,202,19.59,195,963,36,23,7
2204,5.99,0.5,223,22.71,208,963,36,23,7
2204,8.18,0.5,223,22.71,208,963,36,23,7
2204,8.47,0.17,179,28,176,963,36,23,9
2204,7.98,0.25,214,27.33,174,963,36,23,7
2204,9.25,0.25,214,27.33,174,963,36,23,7
2204,6.44,0.5,223,22.71,208,963,36,23,7
2204,7.26,0.5,223,22.71,208,963,36,23,7
2204,8.78,0.17,179,28,176,963,36,23,9
2204,6.78,0.25,214,27.33,174,963,36,23,7
2204,7.79,0.25,214,27.33,174,963,36,23,7
